ted_id,title,buyer,category,is_it,estimated_value_eur,lots_with_value,deadline,portal,documents_url,has_selection_criteria_in_ted,ted_url
625790-2026,NL-Petten: Technical design services by a Computer Aided Design (CAD),"European Commission, DG JRC - Joint Research Centre",Computer-related professional services,yes,200000,1,2026-10-23,EU Funding & Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/19852af0-2ae6-473b-bce5-b79c8a97041b-CN?#anchorDocuments,no,https://ted.europa.eu/en/notice/-/detail/625790-2026
625575-2026,Functioneel applicatiebeheer Burgerzaken,"De Bedrijfsvoeringspartner (Barendrecht, Albrandswaard, Ridderkerk, De Bedrijfsvoeringspartner)","IT services: consulting, software development, Internet and support",yes,,,2026-10-19,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/439173,no,https://ted.europa.eu/en/notice/-/detail/625575-2026
624574-2026,Aanbesteding Identity & Access Managementsysteem,Hogeschool Van Hall Larenstein,"IT services: consulting, software development, Internet and support",yes,,,2026-10-27,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/439290,no,https://ted.europa.eu/en/notice/-/detail/624574-2026
624073-2026,Digitale aansturing van oefenomgevingen voor technische opleidingen,Alliander N.V.,"IT services: consulting, software development, Internet and support",yes,3040000,1,2026-11-18,Mercell,https://s2c.mercell.com/today/226705,no,https://ted.europa.eu/en/notice/-/detail/624073-2026
623070-2026,KIEN - Werkplekapparatuur en Aanvullende Dienstverlening,Coöperatie KIEN UA,Computer-related equipment,yes,,,2026-11-20,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/439233,no,https://ted.europa.eu/en/notice/-/detail/623070-2026
622190-2026,Software Brokerfunctie 2027-2034,GVB Activa B.V.,Software package and information systems,yes,22494983,1,2026-10-26,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438977,no,https://ted.europa.eu/en/notice/-/detail/622190-2026
621203-2026,Enquêteanalyse-tool,Stichting Participatiefonds voor het Onderwijs,Software-related services,yes,,,2026-11-16,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/439087,no,https://ted.europa.eu/en/notice/-/detail/621203-2026
620803-2026,Niet-openbare Europese aanbesteding IGA Tool,Dienstencentrum voor de Rechtspraak,"IT services: consulting, software development, Internet and support",yes,6200000,1,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/439104,no,https://ted.europa.eu/en/notice/-/detail/620803-2026
620461-2026,"Geïntegreerde SaaS-oplossing voor de functies Finance, HR en Inkoop",Wageningen University & Research,Software-related services,yes,10000000,1,,Mercell,https://s2c.mercell.com/today/228460,no,https://ted.europa.eu/en/notice/-/detail/620461-2026
620296-2026,Citrix beheer,Universiteit Utrecht,"IT services: consulting, software development, Internet and support",yes,2000000,1,2027-01-08,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/439010,no,https://ted.europa.eu/en/notice/-/detail/620296-2026
617535-2026,Zelfscan as a Service - Conditionerende Onderzoeken,Enexis Netbeheer BV/Enexis Personeel BV,Software-related services,yes,,,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438866,no,https://ted.europa.eu/en/notice/-/detail/617535-2026
617228-2026,Europese openbare aanbesteding Roostersysteem,Stichting 113 Zelfmoordpreventie,Time accounting or human resources software development services,yes,324000,1,2026-11-09,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438815,no,https://ted.europa.eu/en/notice/-/detail/617228-2026
615710-2026,Financiële applicatie,OVER-gemeenten,Software package and information systems,yes,,,2026-09-29,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438715,no,https://ted.europa.eu/en/notice/-/detail/615710-2026
615556-2026,Financieel Informatiesysteem,gemeente Sittard-Geleen,"IT services: consulting, software development, Internet and support",yes,,,2026-11-09,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438682,no,https://ted.europa.eu/en/notice/-/detail/615556-2026
615459-2026,OT-platform en OT-netwerk componenten,Stedin,"IT services: consulting, software development, Internet and support",yes,33000000,1,,Mercell,https://s2c.mercell.com/today/231432,no,https://ted.europa.eu/en/notice/-/detail/615459-2026
615237-2026,Marktconsultatie Planningssoftware gemeente Breda,Gemeente Breda,Software programming and consultancy services,yes,150000,1,2026-10-09,Mercell,https://s2c.mercell.com/today/230565,no,https://ted.europa.eu/en/notice/-/detail/615237-2026
614857-2026,EA Ritregistratie en Autodelen,NS Groep N.V.,Software-related services,yes,,,2026-11-04,Mercell,https://s2c.mercell.com/today/229642,no,https://ted.europa.eu/en/notice/-/detail/614857-2026
614060-2026,Financieringsmogelijkheden Leeroverzicht.nl,"Ministerie van Onderwijs, Cultuur en Wetenschap",Research consultancy services,no,750000,1,2026-10-19,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438701,no,https://ted.europa.eu/en/notice/-/detail/614060-2026
613909-2026,Informatiebeveiligingsonderzoeken (RVICTO-PT) 2026,"Ministerie van Economische Zaken, Rijksdienst voor Ondernemend Nederland (RVO)","Technical testing, analysis and consultancy services",yes,20000000,1,2026-11-30,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438619,no,https://ted.europa.eu/en/notice/-/detail/613909-2026
613259-2026,Europees openbare aanbesteding - WOZ-applicatie,Gemeente Veendam,"IT services: consulting, software development, Internet and support",yes,,,2026-11-02,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438700,no,https://ted.europa.eu/en/notice/-/detail/613259-2026
612728-2026,e-HRM- en Payrolloplossing,Senzer,"IT services: consulting, software development, Internet and support",yes,,,2026-11-16,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438643,no,https://ted.europa.eu/en/notice/-/detail/612728-2026
612411-2026,"Subsidieverwerking Isolatiemaatregel Beverwijk, Heemskerk en Velsen",Gemeente Beverwijk,"IT services: consulting, software development, Internet and support",yes,,,2026-10-26,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438426,no,https://ted.europa.eu/en/notice/-/detail/612411-2026
612350-2026,"Development, Implementation, Maintenance and Operation of financial IT Systems","European Commission, DG BUDG - Budget","IT services: consulting, software development, Internet and support",yes,700000000,2,2026-10-26,EU Funding & Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/966981b6-1f69-46a6-b4c9-17a2079928ba-CN?#anchorDocuments,no,https://ted.europa.eu/en/notice/-/detail/612350-2026
611509-2026,Managed ICT-infrastructuur en bijbehorende beheerdiensten,Gemeente Midden-Delfland,"IT services: consulting, software development, Internet and support",yes,,,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438403,no,https://ted.europa.eu/en/notice/-/detail/611509-2026
608137-2026,"Zaaksysteem, DMS en Omnichannel Oplossing",De Nederlandse Zorgautoriteit (NZa),"IT services: consulting, software development, Internet and support",yes,2600000,3,2026-10-22,Mercell,https://s2c.mercell.com/today/229346,no,https://ted.europa.eu/en/notice/-/detail/608137-2026
607377-2026,Managed Services en Consultancy voor de Microsoft 365 Omgeving,Luchtverkeersleiding Nederland,"IT services: consulting, software development, Internet and support",yes,3000000,1,2026-10-23,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438222,no,https://ted.europa.eu/en/notice/-/detail/607377-2026
607256-2026,Helpdeskfunctie NIPA,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Helpdesk services,yes,960000,1,2026-10-15,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438311,no,https://ted.europa.eu/en/notice/-/detail/607256-2026
607206-2026,Bedrijfsvoering systemen (HR & ERP),Tilburg University,"IT services: consulting, software development, Internet and support",yes,,,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438246,no,https://ted.europa.eu/en/notice/-/detail/607206-2026
606412-2026,ICT-devices,Onderwijsstichting KempenKind,Computer equipment and supplies,yes,3060000,1,2026-10-28,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438359,no,https://ted.europa.eu/en/notice/-/detail/606412-2026
606188-2026,Operationeel Plannen,Enexis Personeel BV,"IT services: consulting, software development, Internet and support",yes,30000000,1,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/438253,no,https://ted.europa.eu/en/notice/-/detail/606188-2026
605318-2026,Broker Standaardsoftware en Gerelateerde Dienstverlening - gemeente Putten & gemeente Bunschoten,Inkoopsamenwerking Noord Veluwe (ISNV),Software supply services,yes,8252000,2,2026-10-28,Mercell,https://s2c.mercell.com/today/230703,no,https://ted.europa.eu/en/notice/-/detail/605318-2026
